"AdvertisementID";"AdvertisementCompany";"AdvertisementCategory"
1;"Mollis Lectus Pede Ltd";"Gaming"
2;"Est Mauris Industries";"Gaming"
3;"Egestas Rhoncus Consulting";"Gaming"
4;"In Corporation";"Gaming"
5;"Ad Company";"Gaming"
6;"Ultrices Ltd";"Gaming"
7;"Donec Tempus Lorem LLP";"Gaming"
8;"Elit Dictum Eu LLP";"Gaming"
9;"Vitae Purus Gravida LLP";"Gaming"
10;"Curae; Phasellus Limited";"Gaming"
11;"At Fringilla Purus Associates";"Gaming"
12;"Lacinia LLP";"Gaming"
13;"Imperdiet Ullamcorper Foundation";"Gaming"
14;"Nunc Consulting";"Gaming"
15;"Urna Inc.";"Gaming"
16;"Luctus Et Ultrices PC";"Gaming"
17;"Nulla Incorporated";"Gaming"
18;"Scelerisque Inc.";"Gaming"
19;"Eleifend Ltd";"Gaming"
20;"Magna Cras Institute";"Techonology"
21;"Tellus Sem Mollis Inc.";"Techonology"
22;"Mauris Erat Industries";"Techonology"
23;"Non Associates";"Techonology"
24;"Nec Malesuada Limited";"Techonology"
25;"Amet Foundation";"Techonology"
26;"Tincidunt Pede Ac Incorporated";"Techonology"
27;"Ornare Elit Company";"Techonology"
28;"Vel Inc.";"Techonology"
29;"Et Magnis Corporation";"Techonology"
30;"Eu Neque LLC";"Techonology"
31;"Convallis Institute";"Techonology"
32;"Sem Ltd";"Techonology"
33;"Duis Institute";"Techonology"
34;"Elit Pretium Consulting";"Techonology"
35;"Ligula Foundation";"Techonology"
36;"Feugiat Nec Diam Corporation";"Techonology"
37;"At Fringilla Purus Institute";"Techonology"
38;"Mauris Ipsum Porta Company";"Techonology"
39;"Auctor Nunc Nulla Corp.";"Techonology"
40;"In Cursus Corporation";"Gaming"
41;"Netus Ltd";"Gaming"
42;"Dolor Incorporated";"Gaming"
43;"Dui Cum Corp.";"Gaming"
44;"Imperdiet Corporation";"Gaming"
45;"Quis Industries";"Gaming"
46;"Odio Etiam Incorporated";"Gaming"
47;"Non Leo Vivamus Incorporated";"Gaming"
48;"Porttitor Scelerisque Neque LLP";"Gaming"
49;"Mauris Rhoncus Limited";"Gaming"
50;"Tincidunt PC";"Gaming"
51;"At Institute";"Gaming"
52;"Porttitor Vulputate Institute";"Gaming"
53;"Porttitor Vulputate Posuere Foundation";"Gaming"
54;"Tincidunt Corp.";"Gaming"
55;"Sapien Ltd";"Gaming"
56;"Tortor Company";"Gaming"
57;"Arcu Sed Eu Inc.";"Gaming"
58;"Ut Foundation";"Electronics"
59;"Et Incorporated";"Electronics"
60;"Luctus Sit Amet Industries";"Electronics"
61;"Tellus Aenean Associates";"Electronics"
62;"Nostra Incorporated";"Electronics"
63;"Nunc Foundation";"Electronics"
64;"Sociosqu Ad Corp.";"Electronics"
65;"Aliquam Adipiscing Company";"Electronics"
66;"Dignissim Tempor Inc.";"Electronics"
67;"Lacus Ltd";"Electronics"
68;"Mauris Ut Ltd";"Electronics"
69;"Egestas Associates";"Electronics"
70;"Erat Limited";"Electronics"
71;"Dolor Donec Company";"Electronics"
72;"At Augue Consulting";"Electronics"
73;"Nec Mauris Blandit PC";"Electronics"
74;"Elit Fermentum Ltd";"Electronics"
75;"Est Nunc Laoreet Company";"Electronics"
76;"Ipsum Porta PC";"Electronics"
77;"Tempus Scelerisque Lorem PC";"Electronics"
78;"Amet Ultricies Sem Inc.";"Electronics"
79;"Eu Corp.";"Gaming"
80;"Sit Associates";"Gaming"
81;"Quisque Industries";"Gaming"
82;"Vitae Posuere At Inc.";"Gaming"
83;"Ante Iaculis Nec Incorporated";"Gaming"
84;"Sed Id Incorporated";"Gaming"
85;"Commodo Hendrerit Donec LLP";"Gaming"
86;"Fusce PC";"Gaming"
87;"Duis Dignissim Tempor Foundation";"Gaming"
88;"Volutpat Nunc Sit Corp.";"Gaming"
89;"Et Magna Limited";"Gaming"
90;"Sem Magna Ltd";"Gaming"
91;"Vestibulum Limited";"Gaming"
92;"Egestas LLP";"Gaming"
93;"Sem Nulla Interdum Foundation";"Gaming"
94;"Sodales Elit Erat Consulting";"Gaming"
95;"Cursus Company";"Gaming"
96;"Nec Enim Associates";"Gaming"
97;"Sed Malesuada LLP";"Gaming"
98;"Consectetuer Euismod Est Consulting";"Gaming"
99;"Nisi Aenean Inc.";"Gaming"
100;"Vivamus Non LLC";"Gaming"
