"TimeID";"Date";"Year";"Month";"Day";"Quarter";"Week";"DayName";"MonthName";"IsHoliday";"IsWeekend"
20190101;"2019-01-01";2019;1;1;1;1;"Tuesday";"January";"f";"f"
20190102;"2019-01-02";2019;1;2;1;1;"Wednesday";"January";"f";"f"
20190103;"2019-01-03";2019;1;3;1;1;"Thursday";"January";"f";"f"
20190104;"2019-01-04";2019;1;4;1;1;"Friday";"January";"f";"f"
20190105;"2019-01-05";2019;1;5;1;1;"Saturday";"January";"f";"t"
20190106;"2019-01-06";2019;1;6;1;1;"Sunday";"January";"f";"t"
20190107;"2019-01-07";2019;1;7;1;2;"Monday";"January";"f";"f"
20190108;"2019-01-08";2019;1;8;1;2;"Tuesday";"January";"f";"f"
20190109;"2019-01-09";2019;1;9;1;2;"Wednesday";"January";"f";"f"
20190110;"2019-01-10";2019;1;10;1;2;"Thursday";"January";"f";"f"
20190111;"2019-01-11";2019;1;11;1;2;"Friday";"January";"f";"f"
20190112;"2019-01-12";2019;1;12;1;2;"Saturday";"January";"f";"t"
20190113;"2019-01-13";2019;1;13;1;2;"Sunday";"January";"f";"t"
20190114;"2019-01-14";2019;1;14;1;3;"Monday";"January";"f";"f"
20190115;"2019-01-15";2019;1;15;1;3;"Tuesday";"January";"f";"f"
20190116;"2019-01-16";2019;1;16;1;3;"Wednesday";"January";"f";"f"
20190117;"2019-01-17";2019;1;17;1;3;"Thursday";"January";"f";"f"
20190118;"2019-01-18";2019;1;18;1;3;"Friday";"January";"f";"f"
20190119;"2019-01-19";2019;1;19;1;3;"Saturday";"January";"f";"t"
20190120;"2019-01-20";2019;1;20;1;3;"Sunday";"January";"f";"t"
20190121;"2019-01-21";2019;1;21;1;4;"Monday";"January";"f";"f"
20190122;"2019-01-22";2019;1;22;1;4;"Tuesday";"January";"f";"f"
20190123;"2019-01-23";2019;1;23;1;4;"Wednesday";"January";"f";"f"
20190124;"2019-01-24";2019;1;24;1;4;"Thursday";"January";"f";"f"
20190125;"2019-01-25";2019;1;25;1;4;"Friday";"January";"f";"f"
